Id,英文
Id,en
effectDesc_10,Poisoned: Take {0} damage at start of turn.
effectDesc_55003,Poisoned: Take {0} damage at start of turn.
effectDesc_44,Armor Break: Damage dealt becomes piercing damage.
effectDesc_50,Wisdom: Mana cost decreases by {0}.
effectDesc_51,Spell Multiplier: Your next spell card takes effect {0} more times.
effectDesc_55,Resist: Take {0} less physical damage. 
effectDesc_55001,Armor: Withstand {0} damage.
effectDesc_55002,Armor: Withstand {0} damage.
effectDesc_56,Armor Break: Damage dealt becomes piercing damage.
effectDesc_57,Sputter: The next card the enemy uses will fail.
effectDesc_58,Chilled: Deal {0} less damage to the enemy.
effectDesc_58001,Chilled: Deal {0} less damage to the enemy.
effectDesc_60,"Hollowed Out: When you damage the enemy, you gain mana."
effectDesc_61,Round Shield: Block {0} damage this turn.
effectDesc_65,Dodge: {0}% chance of dodging damage.
effectDesc_69,Talisman: Immunity to damage during your turn.
effectDesc_74,Shield: Physical damage you take decreases by {0}.
effectDesc_75,Light Shield: The first damage you take decreases by {0}.
effectDesc_80,Vampire: Absorb 1 health for every {0} damage you deal.
effectDesc_81,"Cloak: Each time your opponent uses an attack card, they take {0} fire damage."
effectDesc_82,Afterimage: {0}% chance of dodging damage. Successful dodges let you draw 1 card.
effectDesc_93,Cloak: The first card your enemy uses each turn does nothing.
effectDesc_94,Barrier: You may not take more than {0} damage at once.
effectDesc_95,Bear Armor: Block {0} damage.
effectDesc_105,Emptiness: Immunity to physical damage.
effectDesc_108,Accelerate: Take another turn.
effectDesc_110,Earthen Wall: Take {0} less damage during this turn.
effectDesc_111,"Sunburn: Each time your opponent uses an attack card, they take {0} fire damage."
effectDesc_113,Weather Vane: Halves the elemental damage taken.
effectDesc_114,"Magic Shield: If you have mana, use it to block 50% of the damage you take."
effectDesc_115,Dodge: {0}% chance of dodging damage.
effectDesc_116,Immunity: You do not take any damage.
effectDesc_117,Heavy Fog: {0}% chance of dodging damage.
effectDesc_118,Tomb Raider: Return the Angry Spirit in the graveyard to your hand.
effectDesc_122,"Spiny Shell: When you take damage on enemy's turn, the enemy also takes damage."
effectDesc_123,"Sunburn: Each time your opponent uses an attack card, they take {0} fire damage."
effectDesc_125,"Ice Shield: Blocks {0} damage. For each point of damage you block, the enemy takes 1 ice damage."
effectDesc_202,Weakness: The physical damage you deal decreases by {0}%.
effectDesc_204,Resist: Take {0} less physical damage.
effectDesc_4093,1
effectDesc_305,1
effectDesc_307,Accelerate: Get 1 extra turn.
effectDesc_307001,Change: Health changes to {0}.
effectDesc_312,Awakening: Deal {0}% additional damage.
effectDesc_318,Sword and Shield: The damage you deal increases your own Armor.
effectDesc_319,Armor: Withstand {0} damage.
effectDesc_320,Frailty: Take {0} additional damage this turn.
effectDesc_326,Swift: Draw {0} cards. Gain {0} Action.
effectDesc_329,Brass Knuckles: Deal {0} additional physical damage.
effectDesc_335,Protection: You cannot take more than {0} damage at once.
effectDesc_336,Brass Knuckles: Deal {0} additional physical damage.
effectDesc_337,Cure: Restore {0} health.
effectDesc_338,Armor Break: Damage dealt becomes piercing damage.
effectDesc_344,Fatal Blow: Die in {0} turns.
effectDesc_345,Repeat: Copy your next card.
effectDesc_348,Penance: Deal {0} piercing damage to the enemy at start of turn.
effectDesc_357,Fatal Blow: Kill the opponent in {0} turns.
effectDesc_358,Poisoned: Take {0} damage at start of turn.
effectDesc_358001,Poisoned: Take {0} damage at start of turn.
effectDesc_359,Deadly Fire: Deal {0} fire damage to the enemy at start of turn.
effectDesc_360,Frailty: Take {0} additional damage this turn.
effectDesc_4000,Depression: Draw {0} fewer cards.
effectDesc_4001,Frustration: Discard {0} cards at random at start of your next turn.
effectDesc_4002,Fatigue: You cannot draw cards during your next {0} turns.
effectDesc_4003,Laziness: You cannot play cards during your next {0} turns.
effectDesc_4004,Discipline: Restore health by 50% of the damage you have dealt.
effectDesc_4005,"Dexterity: Each time you use an action card, restore 3 health."
effectDesc_4006,Introspection: Casting spell cards costs half as much mana this turn.
effectDesc_4007,Incantation: Deal {0} additional damage this turn.
effectDesc_4008,Pyro: Deal {0} additional fire damage.
effectDesc_4009,Steal: Restore health equal to {0}% of damage dealt.
effectDesc_4010,Contemplation: Spend 0 less to cast your next spell card.
effectDesc_4011,Incantation: Deal {0} additional damage this turn.
effectDesc_4012,Renegade: Draw {0} cards at start of turn.
effectDesc_4013,Taboo: Cannot play any cards this turn.
effectDesc_4014,Frailty: Take {0} additional damage this turn.
effectDesc_4015,Dodge: Dodge cards that deal damage.
effectDesc_4016,Resist: Take {0} damage.
effectDesc_4017,Stone Skin: Take {0} damage.
effectDesc_4018,"During this turn, each time you discard a hand, deal {0} piercing damage."
effectDesc_4019,"Brittle: Each time you use a card, discard 1 random card."
effectDesc_4020,Virus: Gain 1 Poison each time you use {0} cards.
effectDesc_4021,Tremble: Your next card has a 50% chance of doing nothing.
effectDesc_4022,Injury: Take {0} additional damage this turn.
effectDesc_4023,Penalty: Take {0} additional damage.
effectDesc_4024,Incantation: Deal {0} additional damage this turn.
effectDesc_4025,Armor: Absorb any damage greater than {0}.
effectDesc_4026,Talisman: Immunity to damage.
effectDesc_4027,"Zeal: Each time you use an attack card, draw a card."
effectDesc_4028,Awakening: Damage increased by {0} times. <<Is this damage increased 3x? Or +3? If the former, it should say "Damage multiplied {0} times" if the latter just "Damage increased by {0}">>
effectDesc_4029,"Each time you use a spell card, draw 1 card."
effectDesc_4030,Renegade: Draw {0} cards at start of turn.
effectDesc_4031,"Rebirth (Talent): Revive after death, restore 1 health and become immune to damage for 1 turn."
effectDesc_4032,xx: The first 3 damage dealing cards that the enemy uses will target them (3 times).
effectDesc_4033,xx: Maximum hand size and card draws decrease by {0}.
